external_id,deal_name,account_name,owner,service_line,market_segment,stage,forecast_category,stage_probability_pct,deal_entry_date,expected_close_date,closed_date,timeline,term_years,mw,capacity_basis,site_count,sqft,price_per_sqft,scan_frequency,flags_json,raw_revenue_tcv,annual_revenue_acv,weighted_revenue,low_estimate,selected_estimate,high_estimate,source_file,review_notes
REN-0024,IN & MN (6) sites 9.9MW,,Megan Smethurst,Renewables,Distributed Generation / C&I Solar,CLOSED_WON,CLOSED,100,2023-12-01,2023-12-01,2023-12-01,,,9.9,MWDC,,,,,{},237600,237600,237600,207900,237600,267300,NAES_CRM_Opportunities_Import.csv,account name needs review; account inferred from opportunity name
REN-0025,LA 2021 Portfolio,LA 2021 Portfolio,Megan Smethurst,Renewables,Renewables,CLOSED_WON,CLOSED,100,2021-05-01,2021-05-01,2021-05-01,,,,,2021,,,,{},,,,,,,NAES_CRM_Opportunities_Import.csv,account inferred from opportunity name
REN-0026,"Luminace -- Irvine, CA (3 sites) Corrective Maintenance",Luminace,Megan Smethurst,Renewables,Renewables,CLOSED_WON,CLOSED,100,2022-05-27,2022-05-27,2022-05-27,,,,,3,,,,{},,,,,,,NAES_CRM_Opportunities_Import.csv,
REN-0027,MD / NJ 17.6MW (OM),,Megan Smethurst,Renewables,Distributed Generation / C&I Solar,CLOSED_WON,CLOSED,100,2023-06-01,2023-06-01,2023-06-01,,,17.6,MWDC,,,,,{},422400,422400,422400,369600,422400,475200,NAES_CRM_Opportunities_Import.csv,account name needs review; account inferred from opportunity name
REN-0028,Module retorqueing - 12 sites in AZ - Priority (OM),Module retorqueing - 12 sites in AZ - Priority (Om),Megan Smethurst,Renewables,Renewables,CLOSED_WON,CLOSED,100,2022-04-15,2022-04-15,2022-04-15,,,,,12,,,,{},,,,,,,NAES_CRM_Opportunities_Import.csv,account inferred from opportunity name
REN-0029,Newington - 756 kWDC PV and 250 kWAC ESS in CT (OM),,Megan Smethurst,Renewables,Distributed Generation / C&I Solar,CLOSED_WON,CLOSED,100,2024-01-01,2024-01-01,2024-01-01,,,0.756,MWDC,,,,,{},18144,18144,18144,15876,18144,20412,NAES_CRM_Opportunities_Import.csv,account name needs review; account inferred from opportunity name
REN-0030,O&M 22.4 MW MD and VA portfolio,"First Wind O&M, Llc",Megan Smethurst,Renewables,Distributed Generation / C&I Solar,CLOSED_WON,CLOSED,100,2025-02-01,2025-02-01,2025-02-01,,,22.4,MWDC,,,,,{},537600,537600,537600,470400,537600,604800,NAES_CRM_Opportunities_Import.csv,
REN-0031,O&M 71MW portfolio,"First Wind O&M, Llc",Megan Smethurst,Renewables,Distributed Generation / C&I Solar,CLOSED_WON,CLOSED,100,2024-04-01,2024-04-01,2024-04-01,,,71,MWDC,,,,,{},1704000,1704000,1704000,1491000,1704000,1917000,NAES_CRM_Opportunities_Import.csv,
REN-0032,"O&M for 24 MWDC portfolio in NY, IL, & CO","First Wind O&M, Llc",Megan Smethurst,Renewables,Distributed Generation / C&I Solar,CLOSED_WON,CLOSED,100,2023-06-01,2023-06-01,2023-06-01,,,24,MWDC,,,,,{},576000,576000,576000,504000,576000,648000,NAES_CRM_Opportunities_Import.csv,
REN-0033,O&M for 26MWDC Westland Almonds - Good,"First Wind O&M, Llc",Megan Smethurst,Renewables,Distributed Generation / C&I Solar,CLOSED_WON,CLOSED,100,2023-09-01,2023-09-01,2023-09-01,,,26,MWDC,,,,,{},624000,624000,624000,546000,624000,702000,NAES_CRM_Opportunities_Import.csv,
REN-0034,O&M for 26MWDC Westland Almonds site,"First Wind O&M, Llc",Megan Smethurst,Renewables,Renewables,CLOSED_WON,CLOSED,100,2023-06-01,2023-06-01,2023-06-01,,,26,MWDC,,,,,{},624000,624000,624000,546000,624000,702000,NAES_CRM_Opportunities_Import.csv,
REN-0035,O&M for PMCTA 310kWDC,"First Wind O&M, Llc",Megan Smethurst,Renewables,Renewables,CLOSED_WON,CLOSED,100,2023-04-01,2023-04-01,2023-04-01,,,0.31,MWDC,,,,,{},7440,7440,7440,6510,7440,8370,NAES_CRM_Opportunities_Import.csv,
REN-0036,O&M for REA portfolio-14 sites 21220 kwdc,"First Wind O&M, Llc",Megan Smethurst,Renewables,Distributed Generation / C&I Solar,CLOSED_WON,CLOSED,100,2024-01-01,2024-01-01,2024-01-01,,,21.22,MWDC,14,,,,{},509280,509280,509280,445620,509280,572940,NAES_CRM_Opportunities_Import.csv,
REN-0037,O&M quote for 9 sites in VA for Johnson Controls,"First Wind O&M, Llc",Megan Smethurst,Renewables,Renewables,CLOSED_WON,CLOSED,100,2022-08-01,2022-08-01,2022-08-01,,,,,9,,,,{},,,,,,,NAES_CRM_Opportunities_Import.csv,
REN-0038,OH 13MW (OM),,Megan Smethurst,Renewables,Distributed Generation / C&I Solar,CLOSED_WON,CLOSED,100,2023-06-01,2023-06-01,2023-06-01,,,13,MWDC,,,,,{},312000,312000,312000,273000,312000,351000,NAES_CRM_Opportunities_Import.csv,account name needs review; account inferred from opportunity name
REN-0039,Oriden 4 Portfolio - PA,Oriden 4 Portfolio - PA,Megan Smethurst,Renewables,Utility-Scale Solar,CLOSED_WON,CLOSED,100,2024-01-01,2024-01-01,2024-01-01,,,,,4,,,,{},,,,,,,NAES_CRM_Opportunities_Import.csv,account inferred from opportunity name
REN-0040,Repower ABC Blocks at Arrache 8083 site,Repower Abc Blocks at Arrache 8083 site,Megan Smethurst,Renewables,Renewables,CLOSED_WON,CLOSED,100,2022-02-18,2022-02-18,2022-02-18,,,,,8083,,,,{},,,,,,,NAES_CRM_Opportunities_Import.csv,account inferred from opportunity name
